Symbol,Company Name,Industry,Series
3MINDIA,3M India Ltd.,SERVICES,EQ
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,EQ
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,EQ
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,EQ
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,EQ
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,EQ
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES,EQ
ADANIGREEN,Adani Green Energy Ltd.,ENERGY,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,EQ
ADANIPOWER,Adani Power Ltd.,ENERGY,EQ
ADANITRANS,Adani Transmission Ltd.,ENERGY,EQ
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,EQ
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,EQ
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,EQ
AEGISCHEM,Aegis Logistics Ltd.,ENERGY,EQ
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,EQ
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS,EQ
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA,EQ
ALKEM,Alkem Laboratories Ltd.,PHARMA,EQ
ALBK,Allahabad Bank,FINANCIAL SERVICES,EQ
ALLCARGO,Allcargo Logistics Ltd.,SERVICES,EQ
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE,EQ
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ
ANDHRABANK,Andhra Bank,FINANCIAL SERVICES,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,EQ
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,EQ
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,EQ
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION,EQ
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,EQ
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,EQ
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMA,EQ
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,EQ
ATUL,Atul Ltd.,CHEMICALS,EQ
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,EQ
AVANTIFEED,Avanti Feeds Ltd.,CONSUMER GOODS,EQ
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,EQ
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,EQ
BASF,BASF India Ltd.,CHEMICALS,EQ
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING,EQ
BSE,BSE Ltd.,FINANCIAL SERVICES,EQ
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,EQ
BAJAJCON,Bajaj Consumer Care Ltd.,CONSUMER GOODS,EQ
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS,EQ
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,EQ
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,EQ
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,EQ
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,SERVICES,EQ
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS,EQ
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES,EQ
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,EQ
BANKINDIA,Bank of India,FINANCIAL SERVICES,EQ
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES,EQ
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,EQ
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,EQ
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,EQ
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,EQ
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,EQ
